No,League,Team,Player,Pos,Ht,Rk,S,Age,Nat,GP,G,A,A1,P,P1,ES G,ES A,ES A1,ES P,ES P1,PP G,PP A,PP A1,PP P,PP P1,SH G,SH A,SH A1,SH P,SH P1,ENG,Pts/GP,PIM,Pl/Mi
28,CWHL,BOS,Kate Leary,F,,,,,,28.0,7.0,9.0,8.0,16.0,15.0,2.0,4.0,4.0,6.0,6.0,5.0,5.0,4.0,10.0,9.0,0.0,0.0,0.0,0.0,0.0,0,0.5714285714,18.0,-31.0
17,CWHL,BOS,Meghan Grieves,F,,,,,,28.0,6.0,8.0,6.0,14.0,12.0,1.0,4.0,3.0,5.0,4.0,5.0,4.0,3.0,9.0,8.0,0.0,0.0,0.0,0.0,0.0,0,0.5,12.0,-32.0
23,CWHL,BOS,Melissa Bizzari,F,,,,,,25.0,4.0,8.0,7.0,12.0,11.0,1.0,5.0,4.0,6.0,5.0,2.0,3.0,3.0,5.0,5.0,1.0,0.0,0.0,1.0,1.0,0,0.48,8.0,-22.0
15,CWHL,BOS,Megan Myers,F,,,,,,20.0,3.0,6.0,5.0,9.0,8.0,1.0,4.0,3.0,5.0,4.0,2.0,2.0,2.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0,0.45,10.0,-24.0
5,CWHL,BOS,Michelle Ng,F,,,,,,20.0,4.0,5.0,3.0,9.0,7.0,4.0,2.0,2.0,6.0,6.0,0.0,3.0,1.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0,0.45,12.0,-9.0
7,CWHL,BOS,Dru Burns,D,,,,,,18.0,2.0,6.0,2.0,8.0,4.0,2.0,0.0,0.0,2.0,2.0,0.0,5.0,1.0,5.0,1.0,0.0,1.0,1.0,1.0,1.0,0,0.4444444444,26.0,-21.0
3,CWHL,BOS,Courtney Turner,F,,,,,,28.0,3.0,3.0,0.0,6.0,3.0,3.0,3.0,0.0,6.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.2142857143,14.0,-19.0
19,CWHL,BOS,Taylor Wasylk,F,,,,,,12.0,4.0,2.0,0.0,6.0,4.0,2.0,2.0,0.0,4.0,2.0,2.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0,0.5,10.0,-9.0
22,CWHL,BOS,Chelsey Goldberg,F,,,,,,26.0,3.0,2.0,0.0,5.0,3.0,2.0,2.0,0.0,4.0,2.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0,0.1923076923,2.0,-8.0
6,CWHL,BOS,Erin Kickham,F,,,,,,27.0,1.0,3.0,3.0,4.0,4.0,1.0,1.0,1.0,2.0,2.0,0.0,2.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0,0.1481481481,6.0,-12.0
16,CWHL,BOS,Kaitlin Spurling,F,,,,,,22.0,1.0,3.0,1.0,4.0,2.0,1.0,1.0,0.0,2.0,1.0,0.0,2.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0,0.1818181818,2.0,-19.0
12,CWHL,BOS,Casey Stathopoulos,F,,,,,,27.0,0.0,3.0,1.0,3.0,1.0,0.0,3.0,1.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.1111111111,0.0,-18.0
71,CWHL,BOS,Kelly Kittredge,D,,,,,,24.0,0.0,3.0,1.0,3.0,1.0,0.0,3.0,1.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.125,6.0,-12.0
91,CWHL,BOS,Jordan Hampton,D,,,,,,20.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.1,4.0,-20.0
8,CWHL,BOS,Sato Kikuchi (I),D,,,,,,28.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.07142857143,22.0,-24.0
4,CWHL,BOS,Elizabeth Aveson,F,,,,,,26.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.03846153846,6.0,-5.0
24,CWHL,BOS,Kristina Brown,D,,,,,,28.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0,0.03571428571,16.0,-27.0
27,CWHL,BOS,Nicole Giannino,F,,,,,,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,-5.0
9,CWHL,BOS,Cassandra Sherman,F,,,,,,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,6.0,-2.0
10,CWHL,BOS,Erin Hall,D,,,,,,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,2.0,-16.0
18,CWHL,BOS,Taryn Harris,D,,,,,,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,4.0,-11.0
20,CWHL,BOS,Meaghan Spurling,D,,,,,,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,12.0,-11.0
7,CWHL,CGY,Brittany Esposito,F,,,,,,25.0,16.0,9.0,8.0,25.0,24.0,9.0,8.0,7.0,17.0,16.0,7.0,1.0,1.0,8.0,8.0,0.0,0.0,0.0,0.0,0.0,0,1.0,6.0,4.0
25,CWHL,CGY,Iya Gavrilova (I),F,,,,,,28.0,6.0,18.0,14.0,24.0,20.0,5.0,13.0,10.0,18.0,15.0,1.0,5.0,4.0,6.0,5.0,0.0,0.0,0.0,0.0,0.0,0,0.8571428571,10.0,14.0
16,CWHL,CGY,Sophie Shirley,F,,,,,,26.0,8.0,11.0,8.0,19.0,16.0,7.0,9.0,6.0,16.0,13.0,1.0,1.0,1.0,2.0,2.0,0.0,1.0,1.0,1.0,1.0,1,0.7307692308,24.0,8.0
28,CWHL,CGY,Louise Warren,F,,,,,,25.0,7.0,12.0,7.0,19.0,14.0,6.0,5.0,4.0,11.0,10.0,0.0,7.0,3.0,7.0,3.0,1.0,0.0,0.0,1.0,1.0,1,0.76,14.0,3.0
9,CWHL,CGY,Dakota Woodworth,F,,,,,,27.0,5.0,13.0,7.0,18.0,12.0,3.0,9.0,5.0,12.0,8.0,2.0,4.0,2.0,6.0,4.0,0.0,0.0,0.0,0.0,0.0,0,0.6666666667,10.0,12.0
51,CWHL,CGY,Katelyn Gosling,D,,,,,,28.0,7.0,11.0,4.0,18.0,11.0,5.0,8.0,3.0,13.0,8.0,2.0,3.0,1.0,5.0,3.0,0.0,0.0,0.0,0.0,0.0,0,0.6428571429,18.0,14.0
8,CWHL,CGY,Erica Kromm,F,,,,,,28.0,5.0,10.0,9.0,15.0,14.0,5.0,8.0,8.0,13.0,13.0,0.0,2.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0,0.5357142857,10.0,0.0
10,CWHL,CGY,Rhianna Kurio,F,,,,,,24.0,9.0,5.0,2.0,14.0,11.0,7.0,4.0,2.0,11.0,9.0,2.0,1.0,0.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0,0.5833333333,4.0,3.0
18,CWHL,CGY,Kayla Gardner,F,,,,,,25.0,6.0,5.0,4.0,11.0,10.0,5.0,5.0,4.0,10.0,9.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0,0.44,10.0,14.0
11,CWHL,CGY,Jacquie Pierri,D,,,,,,28.0,4.0,7.0,4.0,11.0,8.0,3.0,6.0,4.0,9.0,7.0,1.0,1.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0,0.3928571429,26.0,20.0
13,CWHL,CGY,Kelty Apperson,F,,,,,,28.0,4.0,5.0,3.0,9.0,7.0,3.0,3.0,2.0,6.0,5.0,1.0,2.0,1.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0,0.3214285714,8.0,4.0
5,CWHL,CGY,Kelly Murray,D,,,,,,25.0,2.0,6.0,3.0,8.0,5.0,1.0,4.0,1.0,5.0,2.0,1.0,1.0,1.0,2.0,2.0,0.0,1.0,1.0,1.0,1.0,0,0.32,26.0,6.0
2,CWHL,CGY,Laura Dostaler,F,,,,,,23.0,4.0,3.0,2.0,7.0,6.0,4.0,3.0,2.0,7.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.3043478261,8.0,8.0
15,CWHL,CGY,Elana Lovell,F,,,,,,19.0,3.0,4.0,1.0,7.0,4.0,3.0,3.0,1.0,6.0,4.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.3684210526,4.0,5.0
24,CWHL,CGY,Hayleigh Cudmore,D,,,,,,19.0,2.0,5.0,3.0,7.0,5.0,2.0,4.0,3.0,6.0,5.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.3684210526,2.0,11.0
14,CWHL,CGY,Brittney Fouracres,D,,,,,,25.0,2.0,5.0,4.0,7.0,6.0,2.0,5.0,4.0,7.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.28,4.0,7.0
20,CWHL,CGY,Kennedy Brown,F,,,,,,24.0,2.0,4.0,2.0,6.0,4.0,2.0,4.0,2.0,6.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.25,6.0,4.0
12,CWHL,CGY,Taryn Baumgardt,D,,,,,,28.0,1.0,4.0,3.0,5.0,4.0,1.0,4.0,3.0,5.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.1785714286,4.0,5.0
19,CWHL,CGY,Brianne Jenner,F,,,,,,4.0,1.0,1.0,1.0,2.0,2.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0,0.5,4.0,-2.0
6,CWHL,CGY,Megan Grenon,D,,,,,,25.0,1.0,1.0,0.0,2.0,1.0,1.0,1.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.08,8.0,8.0
26,CWHL,CGY,Blayre Turnbull,F,,,,,,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,4.0,-2.0
16,CWHL,KRS,Kelli Stack (I),F,,,,,,28.0,26.0,23.0,17.0,49.0,43.0,21.0,17.0,13.0,38.0,34.0,5.0,6.0,4.0,11.0,9.0,0.0,0.0,0.0,0.0,0.0,1,1.75,40.0,25.0
44,CWHL,KRS,Zoe Hickel (I),F,,,,,,28.0,12.0,26.0,17.0,38.0,29.0,10.0,21.0,15.0,31.0,25.0,1.0,5.0,2.0,6.0,3.0,1.0,0.0,0.0,1.0,1.0,0,1.357142857,16.0,26.0
49,CWHL,KRS,Jessica Wong,D,,,,,,28.0,10.0,14.0,8.0,24.0,18.0,9.0,11.0,6.0,20.0,15.0,1.0,3.0,2.0,4.0,3.0,0.0,0.0,0.0,0.0,0.0,0,0.8571428571,22.0,24.0
27,CWHL,KRS,Shiann Darkangelo (I),F,,,,,,27.0,10.0,8.0,6.0,18.0,16.0,9.0,3.0,1.0,12.0,10.0,1.0,4.0,4.0,5.0,5.0,0.0,1.0,1.0,1.0,1.0,0,0.6666666667,32.0,9.0
12,CWHL,KRS,Stephanie Anderson (I),F,,,,,,28.0,8.0,9.0,7.0,17.0,15.0,5.0,4.0,4.0,9.0,9.0,2.0,5.0,3.0,7.0,5.0,1.0,0.0,0.0,1.0,1.0,1,0.6071428571,48.0,10.0
9,CWHL,KRS,Alexandra Carpenter (I),F,,,,,,13.0,5.0,7.0,5.0,12.0,10.0,2.0,7.0,5.0,9.0,7.0,3.0,0.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,1,0.9230769231,0.0,11.0
91,CWHL,KRS,Rachel Llanes,F,,,,,,28.0,5.0,5.0,4.0,10.0,9.0,3.0,3.0,3.0,6.0,6.0,2.0,2.0,1.0,4.0,3.0,0.0,0.0,0.0,0.0,0.0,0,0.3571428571,24.0,2.0
15,CWHL,KRS,Madison Woo,F,,,,,,28.0,3.0,7.0,4.0,10.0,7.0,2.0,7.0,4.0,9.0,6.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0,0.3571428571,10.0,9.0
6,CWHL,KRS,Melanie Jue,D,,,,,,28.0,6.0,4.0,2.0,10.0,8.0,2.0,4.0,2.0,6.0,4.0,4.0,0.0,0.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0,0.3571428571,24.0,5.0
9,CWHL,KRS,Annina Rajahuhta,F,,,,,,10.0,3.0,6.0,4.0,9.0,7.0,2.0,5.0,3.0,7.0,5.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0,0.9,10.0,6.0
11,CWHL,KRS,Taylor Marchin (I),D,,,,,,22.0,0.0,9.0,3.0,9.0,3.0,0.0,5.0,2.0,5.0,2.0,0.0,4.0,1.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0,0.4090909091,6.0,24.0
93,CWHL,KRS,Zhixin Liu,D,,,,,,28.0,3.0,3.0,1.0,6.0,4.0,3.0,2.0,1.0,5.0,4.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.2142857143,12.0,11.0
94,CWHL,KRS,Lu Wen,D,,,,,,28.0,1.0,3.0,0.0,4.0,1.0,1.0,3.0,0.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.1428571429,4.0,3.0
2,CWHL,KRS,Baiwei Yu,D,,,,,,28.0,1.0,2.0,1.0,3.0,2.0,1.0,2.0,1.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.1071428571,14.0,6.0
98,CWHL,KRS,Rui Zhu,F,,,,,,27.0,2.0,0.0,0.0,2.0,2.0,2.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.07407407407,2.0,0.0
19,CWHL,KRS,Hongxin Yan,D,,,,,,20.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0,0.05,0.0,1.0
21,CWHL,KRS,Wenzhuo Wang,F,,,,,,28.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,4.0,3.0
8,CWHL,KRS,Lixue Xing,F,,,,,,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,2.0
18,CWHL,KRS,Liying Yang,F,,,,,,27.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,-1.0
19,CWHL,KRS,Yue Hou,D,,,,,,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0
